type;ID;contrib;Npages;title;filename;generated;citations;name_000;surname_000;name_001;surname_001;name_002;surname_002;name_003;surname_003;name_004;surname_004;name_005;surname_005;name_006;surname_006;name_007;surname_007;name_008;surname_008;name_009;surname_009;name_010;surname_010;name_011;surname_011;name_012;surname_012;name_013;surname_013;name_014;surname_014;name_015;surname_015;name_016;surname_016;name_017;surname_017;name_018;surname_018;name_019;surname_019;name_020;surname_020
paper;benaglia_paula;R;8;Stars, bow shocks, and gamma-ray sources;benaglia_paula/benaglia_paula.tex;LaTeX;;P.;Benaglia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;cora_sofia;R;8;Deviation of galaxies from the main sequence: multiple mechanisms in action;cora_sofia/cora_sofia.tex;LaTeX;;S.A.;Cora;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;lopezfuentes_m;R;8;El rol de las caracter{\'\i}sticas y evoluci\'on de las regiones activas solares en la producci\'on de fulguraciones y eyecciones coronales de masa;lopezfuentes_m/lopezfuentes_m.tex;LaTeX;;M.;L\'opez Fuentes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;motta_v;R;5;Aplicaciones cosmol\'ogicas de cu\'asares con efecto lente gravitatoria recientemente descubiertos;motta_v/motta_v.tex;LaTeX;;V.;Motta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;orellana_mariana;R;6;Estudios num\'ericos de supernovas;orellana_mariana/orellana_mariana.tex;LaTeX;;M.;Orellana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;paron_s;R;8;Interstellar medium and star formation;paron_s/paron_s.tex;LaTeX;;S.;Paron;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;rasztocky_emiliano;R;8;Cutting-edge instrumentation for radio astronomy in Argentina;rasztocky_emiliano/rasztocky_emiliano.tex;LaTeX;;E.;Rasztocky;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;ronco_mp;R;8;Progenitores de planetas: evoluci\'on de discos protoplanetarios en diferentes ambientes estelares;ronco_mp/ronco_mp.tex;LaTeX;;M.P.;Ronco;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;858;R;3;The orbital period of the nova V1674~Her as observed with TESS;858/858.tex;LaTeX;;G.J.M.;Luna;I.J.;Lima;M.;Orio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
paper;859;R;4;Catalogando y estudiando pilares en el medio interestelar: un proyecto de Ciencia Popular;859/859.tex;LaTeX;;T.;Heberling;S.;Paron;;;M.E.;Ortega;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
