,contriblanguage,contribtype,thematicarea,title,author,abstract,keywords,subtitle,num_authors,npages
2162,English,Presentación mural,OCPAE. Objetos Compactos y Procesos de Altas Energías,Superaccreting microquasars as PeVatrons,"{'name_000': 'L.', 'surname_000': 'Abaroa', 'name_001': 'G.E.', 'surname_001': 'Romero'}","The Large High Altitude Air Shower Observation (LHAASO) instrument has
recently detected several ultrahigh-energy gamma-ray sources whose exact
nature remains unknown. We propose that superaccreting microquasars
(MQs, with accretion rates greater than the Eddington rate, such as the
Galactic SS433 or the extragalactic S26) could be behind some of these
sources, producing cosmic rays (CRs) of $\sim$ 1 PeV. The CRs are
accelerated at the base of the MQ jet and in its terminal region.
Ultrarelativistic protons escape by diffusion and are released into the
interstellar medium, where they can interact with surrounding
overdensities of matter and produce very high energy emission. The
detection of gamma rays above 100 TeV is then crucial for tracing the
accelerators and determining the highest energies of the CRs in the
Galaxy. In this talk, we will present preliminary results on the
acceleration and distribution of particles, as well as the resulting
gamma-ray emission from cosmic rays far from the source. We will discuss
the potential for super-Eddington MQs to serve as PeVatron sources.","{'key_000': 'ISM: cosmic rays', 'key_001': 'radiation mechanisms: non-thermal', 'key_002': 'ISM: jets and outflows', 'key_003': 'acceleration of particles'}",,4,1
2090,Spanish,Presentación mural,AE. Astrofísica Estelar,Tecnolog{\'\i}a y Patrimonio: El Proyecto ReTrOH en la Conservaci\'on de Espectros Astron\'omicos,"{'name_000': 'Y.', 'surname_000': 'Aidelman', 'name_001': 'M.', 'surname_001': 'Iannuzzi', 'name_002': 'C.', 'surname_002': 'Di Gregorio', 'name_003': 'S.', 'surname_003': ""Ponte Ah\\'on"", 'name_004': 'F.', 'surname_004': 'Ronchetti', 'name_005': 'F.', 'surname_005': 'Quiroga', 'name_006': 'R.', 'surname_006': 'Peralta', 'name_007': 'M.', 'surname_007': ""L\\'opez"", 'name_008': 'R.', 'surname_008': 'Gamen', 'name_009': 'L.', 'surname_009': 'Cidale'}","En 2019 se estableció oficialmente el repositorio científico de la
Facultad de Ciencias Astronómicas y Geofísicas a través del proyecto de
Recuperación del Trabajo Observacional Histórico (ReTrOH), enfocado en
la preservación y valoración del patrimonio histórico-científico. El
proyecto abarca la recuperación, digitalización y puesta en valor de
datos meteorológicos, geofísicos y astronómicos. Iniciado con la
digitalización de placas espectroscópicas, ReTrOH ha escaneado más de
250 placas. Este trabajo resalta la puesta en valor de los espectros de
Nova~Puppis~1942 y $\mu$~Centauri. Nova~Puppis fue descubierta el 8 de
noviembre de 1942 por el Dr. B. Dawson y sus espectros adquiridos por el
Dr. A. Wilkens entre esa misma noche y junio de 1943 en el Observatorio
Astronómico de La Plata. Estos espectros aún permanecen inéditos en
publicaciones internacionales. Además, contamos con 64 placas de
$\mu$~Cen, una estrella Be con pulsaciones no radiales y múltiples
estallidos similares a $\gamma$~Cas, con espectros entre 1904 y 1971. Un
aspecto crucial es la implementación del software {\sc PlateUNLP},
desarrollado en colaboración con la Facultad de Informática de la UNLP,
para procesar automáticamente las placas espectroscópicas escaneadas.
Utilizando técnicas de visión por computadora y redes neuronales, este
software extrae y calibra los espectros, facilitando su preservación y
estudio. Este avance no solo conserva el patrimonio científico, sino que
también amplía las posibilidades de investigación futura al hacer
accesibles estos datos históricos a la comunidad científica global,
representando un significativo progreso en la conservación y estudio de
fenómenos astronómicos históricos, integrando técnicas modernas con
datos valiosos del pasado.","{'key_000': 'history and philosophy of astronomy', 'key_001': 'techniques: imaging spectroscopy', 'key_002': 'stars: general'}",,20,1
2279,Spanish,Presentación mural,AE. Astrofísica Estelar,Probando escenarios de formaci\'on de $\lambda$ Bootis utilizando sistemas binarios,"{'name_000': 'J.', 'surname_000': 'Alacoria', 'name_001': 'A.', 'surname_001': 'Collado', 'name_002': 'C.', 'surname_002': 'Saffe', 'name_003': 'M.', 'surname_003': 'Flores', 'name_004': 'P.', 'surname_004': 'Miquelarena', 'name_005': 'D.', 'surname_005': 'Calvo', 'name_006': 'F.', 'surname_006': 'Gunella', 'name_007': 'E.P.', 'surname_007': 'Gonzalez'}","Las estrellas binarias clásicas $\lambda$ Bootis exhiben subabundancias
de la mayoría de los elementos del pico de Fe (aproximadamente entre 1-2
dex), mientras que elementos más ligeros como C, N, O y S muestran
abundancias cercanas a las solares. A pesar de su perfil químico
distintivo, el origen de la peculiaridad $\lambda$ Bootis sigue siendo
un misterio sin resolver. Este enigma se ve agravado por el hecho de que
la mayoría de las estrellas candidatas $\lambda$ Bootis se han
identificado mediante clasificación espectral, donde una caracterización
detallada de la abundancia se considera la prueba definitiva para su
clasificación precisa. Por ello, estamos llevando a cabo un trabajo de
investigación sobre análisis químico detallado de sistemas múltiples
obtenidos a partir de recientes relevamientos. De este modo, podremos
determinar en forma homogénea parámetros y composición química de este
tipo de objetos y tratar de explicar si la presencia de una compañera
juega un rol importante en el desarrollo de la peculiaridad.","{'key_000': 'Stars: abundances', 'key_001': 'Stars: binaries', 'key_002': 'Stars: chemically peculiar'}",,16,1
2156,Spanish,Presentación mural,AE. Astrofísica Estelar,Determinaci\'on de par\'ametros fundamentales de estrellas Wolf-Rayet en sistemas binarios eclipsantes,"{'name_000': 'T.', 'surname_000': ""Ans\\'in"", 'name_001': 'R.', 'surname_001': 'Gamen'}","A pesar de la fundamental importancia que revisten las estrellas masivas
en el funcionamiento del Universo, nuestro conocimiento sobre ellas
continúa siendo incompleto. Uno de los aspectos, tal vez, más inciertos
está relacionado con la pérdida de masa, i.e. vientos estelares. La
evolución de las estrellas masivas post secuencia principal, en
particular la etapa Wolf-Rayet (WR), cambia dramáticamente según este
fenómeno. En este trabajo presentamos el análisis de dos sistemas
binarios espectroscópicos conformados por una componente tipo WR y otra
tipo O. A partir de los datos de la misión TESS descubrimos que
presentan eclipses en ambas conjunciones. Esta peculiaridad los
convierte en los únicos sistemas donde se pueden determinar sus
parámetros estelares con alta precisión. Para esto utilizamos modelos
que consideran la componente del viento estelar para ajustar los
eclipses. Las masas y radios determinados, principalmente para las
componentes WR, constituyen evidencia observacional relevante para ser
confrontada con modelos de evolución estelar masiva.",{'key_000': 'binaries: spectroscopic -- binaries: eclipsing -- stars: massive -- stars: fundamental parameters -- stars: Wolf{\\textendash}Rayet'},,4,1
2296,English,Presentación mural,OCPAE. Objetos Compactos y Procesos de Altas Energías,Follow up of the study of magnetar XTE J1810-197,"{'name_000': 'S.B.', 'surname_000': 'Araujo Furlan', 'name_001': 'E.', 'surname_001': 'Zubieta', 'name_002': 'G.', 'surname_002': 'Gancio', 'name_003': 'G.E.', 'surname_003': 'Romero', 'name_004': 'S.', 'surname_004': 'del Palacio', 'name_005': 'F.', 'surname_005': 'Garcia', 'name_006': 'C.O.', 'surname_006': 'Lousto', 'name_007': 'J.A.', 'surname_007': 'Combi%', 'name_008': '', 'surname_008': ""Colaboraci\\'on PuMA""}","Magnetars are a peculiar class of young, slowly rotating neutron stars
with extremely strong surface magnetic fields ($B\sim10^{13} -
10^{10}\,\mathrm{G}$). They show a rich transient phenomenology, with
giant flares, short bursts and outbursts, mostly detected on X-rays. Of
the 30 known magnetars, only 6 have shown emission in radio frequencies.
The emission from 5 of them was always associated with X-ray outbursts
of the source. The remaining magnetar emitted Fast Radio Burst
(FRB)-like bursts. Magnetar XTE J1810$-$197 was the first one detected
in radio frequencies, and it underwent an outburst in late 2018. We
started a high-cadence monitoring campaign on September 2022 with the
radiotelescopes of the \textit{Instituto Argentino de Radioastronomía}
(IAR). Here we report on the continuation of the study presented at last
year's meeting, on single pulses detected from magnetar XTE J1810-197
four years after its outburst. In this case, we extended the analysis of
observations until mid-July 2023, made with antenna “Esteban Bajaja”
(A2) with the ETTUS board on the receiver. We detected single pulses
with $8\leq \mathrm{S/N} \leq40$. Here we present a statistical study of
our sample, where there appear to be two different subgroups. In
addition, we checked for simultaneous X-ray activity and its correlation
with the radio observations by conducting an in-deep analysis of the
light curves in the 2-20 keV band of the magnetar observed by the MAXI
telescope.","{'key_000': 'stars: magnetars', 'key_001': 'radio continuum: stars', 'key_002': 'methods: data analysis'}",,18,1
2186,Spanish,Presentación mural,OCPAE. Objetos Compactos y Procesos de Altas Energías,Rol de la transferencia de masa en progenitores de ondas gravitacionales,"{'name_000': 'J.', 'surname_000': 'Astudillo', 'name_001': 'G.J.', 'surname_001': 'Escobar', 'name_002': 'G.', 'surname_002': 'Iorio', 'name_003': 'L.J.', 'surname_003': 'Pellizza'}","La comprensión de las propiedades, formación y el camino evolutivo que
siguen los sistemas estelares de alta masa es un tema de investigación
fundamental en la astrofísica estelar. Bajo ciertas condiciones, los
sistemas binarios de estrellas masivas forman sistemas de objetos
compactos ligados gravitacionalmente capaces de fusionarse en un tiempo
menor a la edad del Universo, produciendo ondas gravitacionales
detectables por observatorios como LIGO o VIRGO. La transferencia de
masa entre las estrellas impacta en las propiedades orbitales y físicas
del sistema, por lo que su estudio resulta esencial para entender las
características de los progenitores de ondas gravitacionales. En este
póster estudiamos los efectos de la transferencia de masa sobre las
poblaciones de binarias de objetos compactos resultantes y su
correspondiente producción de ondas gravitacionales. Implementamos el
código de síntesis poblacional SEVN (Stellar EVolution for N-body) para
simular grandes grupos de sistemas binarios analizando distintos
regímenes de transferencia de masa. SEVN interpola al vuelo tablas de
evolución estelar precalculadas con simulaciones hidrostáticas de
códigos como MESA o PARSEC, lo que reduce considerablemente el tiempo de
la simulación y mantiene mayor exactitud que aquellos códigos que
utilizan únicamente prescripciones analíticas o semianalíticas para
calcular dicha evolución.","{'key_000': 'gravitational waves', 'key_001': 'stars: black holes', 'key_002': 'stars: massive'}",,8,1
2102,Spanish,Presentación mural,SSE. Sistemas Solar y Extrasolares,Estudio detallado de la atm\'osfera de WASP-39 b utilizando el c\'odigo POSEIDON y datos del JWST,"{'name_000': 'M.A.J.', 'surname_000': 'Baracchi', 'name_001': 'L.H.', 'surname_001': ""Garc{\\'\\i}a"", 'name_002': 'M.N.', 'surname_002': ""G\\'omez""}","En este estudio, se investiga la atmósfera del planeta de tipo Saturno
caliente WASP-39 b ($m\sim0.28$ M$_{\rm Jup}$), que orbita una estrella
del tipo espectral G8 a tan solo 0.048 UA de la misma. Esto se lleva a
cabo mediante el análisis de espectros de transmisión obtenidos por el
telescopio espacial James Webb (JWST), los cuales abarcan un rango
espectral de 0.5 a 12 micrones, permitiendo una evaluación exhaustiva de
la composición química y los posibles escenarios físicos de la
atmósfera. Para ello, se emplea el código POSEIDON, el cual se basa en
la transferencia radiativa de las diferentes fuentes de opacidad
presentes en la atmósfera, para reproducir las características
observadas en los espectros, refinando la abundancia de compuestos
moleculares como el $H_{2}O, CO_{2}$ y $CH_{4}$, entre otros. Por otra
parte, el análisis integral, pero detallado, de todos los espectros
combinados permitirá una mejor caracterización de la atmósfera de
WASP-39b.","{'key_000': 'planets and satellites: atmospheres', 'key_001': 'planets and satellites: gaseous planets', 'key_002': 'planets and satellites: composition'}",,6,1
2157,Spanish,Presentación mural,SE. Sistemas Estelares,Estudio de la estructura interna de los c\'umulos estelares del Puente de Magallanes,"{'name_000': 'G.', 'surname_000': 'Baume', 'name_001': 'C.', 'surname_001': 'Feinstein', 'name_002': 'M.J.', 'surname_002': 'Rodriguez', 'name_003': 'M.', 'surname_003': 'Fiorentino', 'name_004': 'B.', 'surname_004': 'Dias', 'name_005': 'J.F.C. Santos Jr.', 'surname_005': '', 'name_006': 'F.S.M.', 'surname_006': 'Maia', 'name_007': 'L.', 'surname_007': 'Kerber'}","Se ha analizado la estructura interna de una muestra de varios cúmulos
estelares localizados en el puente de las Nubes de Magallanes. El
estudio se ha basado en observaciones fotométricas obtenidas con el
relevamiento VISCACHA. A partir de la distribución espacial de las
estrellas consideradas miembros, se ha construido el árbol de expansión
mínimo para cada cúmulo y se ha calculado el correspondiente parámetro
$Q$. Este parámetro permite explorar la distribución fractal de los
cúmulos. En el estudio se han considerando diferentes estrategias de
descontaminación fotométrica de las estrellas de campo para encontrar la
más adecuada al objetivo planteado. Se presentan entonces los resultados
preliminares que surgen de evaluar la dependencia del parámetro $Q$ con
los diferentes parámetros fundamentales de los cúmulos. En particular,
se encuentran valores anormales del parámetro $Q$ en algunos de los
cúmulos, respecto a los esperados para sus estados evolutivos. Este
hecho se podría interpretar como una consecuencia de las fuerzas de
marea presentes en la región bajo estudio. .","{'key_000': 'Magellanic Clouds', 'key_001': 'galaxies: star clusters: general', 'key_002': 'galaxies: structure'}",,16,1
2158,Spanish,Presentación mural,SE. Sistemas Estelares,Poblaciones estelares y agrupaciones en las Nubes de Magallanes,"{'name_000': 'G.', 'surname_000': 'Baume', 'name_001': 'C.', 'surname_001': 'Parisi', 'name_002': 'C.', 'surname_002': 'Feinstein', 'name_003': 'B.', 'surname_003': ""De B\\'ortoli""}","En el presente trabajo se lleva a cabo una separación de diferentes
poblaciones estelares de las Nubes de Magallanes junto con una
identificación de agrupaciones estelares. El estudio se ha basado en
datos provistos por los relevamientos Gaia DR3 y S-Plus DR4. En una
primera etapa se han correlacionado ambos conjuntos de datos y se han
utilizando criterios astrométricos para separar la población estelar de
las Nubes de la contaminación producida principalmente por la población
estelar de Vía Láctea. Por otro lado, la fotometría multibanda que
proveen tanto los datos S-Plus como los datos Gaia ha permitido
construir diagramas color-color y color-magnitud. El uso de los mismos
ha hecho posible discriminar, en cada galaxia, diferentes poblaciones
estelares que comparten una misma fase evolutiva. Finalmente, se ha
realizado la identificación de agrupaciones estelares en base a la
distribución espacial de las poblaciones estelares más relevantes. En
este último procedimiento se han aplicado diferentes algorítmos de
aprendizaje automático no supervisado.","{'key_000': 'Magellanic Clouds', 'key_001': 'galaxies: star clusters: general', 'key_002': 'galaxies: structure'}",,8,1
2086,English,Presentación mural,AEC. Astrofísica Extragaláctica y Cosmología,Kinematic patterns of the enriched gas phase in the Local Group {\sc Hestia} simulations,"{'name_000': 'L.', 'surname_000': '~Biaus', 'name_001': 'S.E.', 'surname_001': '~Nuza', 'name_002': 'C.', 'surname_002': '~Scannapieco', 'name_003': 'F.G.', 'surname_003': '~Iza', 'name_004': 'E.', 'surname_004': '~Lozano'}","Observations of intergalactic absorbers in the Local Group suggest the
existence of a velocity dipole in the general barycenter--antibarycenter
direction which can be interpreted as evidence of a general flow of
material towards the group's barycenter. In this work, we study the
kinematics of gas in the Local Group using one of the high-resolution
realisations of the {\sc Hestia} simulations with a particular focus on
the evidence left by different ionic species. Our simulation includes
the correct cosmography for a region similar to the Local Group and a
relative radial velocity between the candidate Milky Way and Andromeda
galaxies similar to the observed one. We examine the distribution and
kinematics of six ionic species (H\,{\sc i}, C\,{\sc iv}, Si\,{\sc iii},
O\,{\sc vi}, O\,{\sc vii} and O\,{\sc viii}) and their imprints on
synthetic sky maps constructed from the reference frames commonly used
by observers. Our results indicate the presence of such a dipole for gas
outside the Milky Way halo, favouring a paradigm in which the Milky Way
is moving against the gas in the direction of the barycenter, while
moving away from it in the opposite direction. This pattern is clearer
for the higher oxygen ions, which preferentially trace hot gas. On the
other hand, we observe a slight asymmetry in the pressure profiles in
both directions, indicating higher pressures in the inner regions of the
Local Group.","{'key_000': 'Local Group', 'key_001': 'galaxies: kinematics and dynamics', 'key_002': 'intergalactic medium', 'key_003': 'methods: numerical'}",,10,1
