type;ID;contrib;Npages;title;filename;generated;citations;name_000;surname_000;name_001;surname_001;name_002;surname_002;name_003;surname_003;name_004;surname_004;name_005;surname_005;name_006;surname_006;name_007;surname_007;name_008;surname_008;name_009;surname_009;name_010;surname_010;name_011;surname_011
paper;1111;R;1;El N\'ucleo Argentino de Investigaci\'on en Astrobiolog{\'\i}a: integrando la astronom{\'\i}a con diversas \'areas de la ciencia para la b\'usqueda de vida en el universo;1111.tex;LaTeX;;X.;Abrevaya;;;;;;;;;;;;;;;;;;;;;;
paper;1222;R;1;Aspectos epistemol\'ogicos de la observaci\'on astron\'omica;1222.tex;LaTeX;;M.;Bozzoli;;;;;;;;;;;;;;;;;;;;;;
paper;1333;R;1;Huellas de la evoluci\'on de las galaxias en sus sistemas de c\'umulos globulares;1333.tex;LaTeX;;J.P.;Caso;;;;;;;;;;;;;;;;;;;;;;
paper;1444;R;1;Pulsaciones cuasi-peri\'odicas en fulguraciones solares: claves para desentra\~nar la liberaci\'on de energ{\'\i}a solar;1444.tex;LaTeX;;M.;C\'ecere;;;;;;;;;;;;;;;;;;;;;;
paper;1555;R;1;Estrellas y sistemas de estrellas como fuentes de alta energ{\'\i}a;1555.tex;LaTeX;;M. V.;del Valle;;;;;;;;;;;;;;;;;;;;;;
paper;1666;R;1;Acreci\'on en objetos compactos: un enfoque espectro-temporal desde los rayos X;1666.tex;LaTeX;;F.;Garc{\'\i}a;;;;;;;;;;;;;;;;;;;;;;
paper;1777;R;1;Astrometr{\'\i}a y Geodesia con VLBI en banda K;1777.tex;LaTeX;;M.E.;G\'omez;;;;;;;;;;;;;;;;;;;;;;
paper;1888;R;1;Astronom{\'\i}a de Meteoros desde Tierra del Fuego: Resultados de los primeros 15 a\~nos de estudios;1888.tex;LaTeX;;D.;Janches;;;;;;;;;;;;;;;;;;;;;;
paper;1999;R;1;Overview of the joint-CART project and future perspectives;1999.tex;LaTeX;;J.;Li;;;;;;;;;;;;;;;;;;;;;;
paper;1211;R;1;The ISM and High-mass star formation in the Southern Milky Way: four decades of mm/sub-mm research;1211.tex;LaTeX;;M.;Merello;;;;;;;;;;;;;;;;;;;;;;
paper;1311;R;1;En la b\'usqueda de los modos B primordiales en el Fondo C\'osmico de Radiaci\'on;1311.tex;LaTeX;;C.G.;Sc\'occola;;;;;;;;;;;;;;;;;;;;;;
paper;2151;R;1;Agujeros negros binarios en c\'umulos de poblaci\'on III;2151.tex;LaTeX;;G.J.;Escobar;M.;Mapelli;G.;Iorio;;;;;;;;;;;;;;;;;;
paper;2248;R;1;An\'alisis astrof{\'\i}sico de un nuevo c\'umulo estelar moderadamente viejo ubicado en la regi\'on de la nebulosa Trifid;2248.tex;LaTeX;;L.M.;Mor\'on;F.;Mul\'e;A.;Teragni;F.;Bazzoni;A.E.;Piatti;;;;;;;;;;;;;;
paper;2269;R;1;An\'alisis de variabilidad y evoluci\'on de una muestra de supergigantes B;2269.tex;LaTeX;;A.;Alberici Adam;L.S.;Cidale;A.;Christen;G.F.;Avila Mar{\'\i}n;M.;Kourniotis;W.;Glatzel;;;;;;;;;;;;
paper;2214;R;1;An\'alisis en multifrecuencia de los c\'umulos BH\,205 y Ruprecht\,102 y de su medio interestelar;2214.tex;LaTeX;;L.;Rizzo;M.A.;Corti;L.G.;Pa\'iz;;;;;;;;;;;;;;;;;;
paper;2116;R;1;Bethe-Heitler mechanism in ultraluminous X-ray sources;2116.tex;LaTeX;;L.M.;Pasquevich;G.E.;Romero;L.;Abaroa;;;;;;;;;;;;;;;;;;
