ID,Título,Área,Estado,Fecha de aceptación
858,The orbital period of the nova V1674~Her as observed with TESS,SE - Sistemas Estelares,Aceptado,16 may 2024
859,Catalogando y estudiando pilares en el medio interestelar: un proyecto de Ciencia Popular,ASOC - Astronomía y So...,Aceptado,11 April 2024
863,Preliminary study of CH$_3$CN as a chemical thermometer of molecular cores,MI - Medio Interestelar,Aceptado,01 June 2024
864,"Observaciones de la región central de NGC,5128 con Flamingos-2",AEC - Astronomía Extra...,Aceptado,09 June 2024
865,Ansae in NGC 253,AEC - Astronomía Extra...,Aceptado,29 June 2024
866,Primordial power spectrum from an objective collapse mechanism: The simplest case,AEC - Astronomía Extra...,Aceptado,03 may 2024
868,Efecto Neupert\ Análisis para fulguraciones del Ciclo Solar 24,SH - Sol y Heliosfera,Aceptado,04 June 2024
869,Ionizing photons produced by massive stars in SMC-N88a,MI - Medio Interestelar,Aceptado,12 may 2024
870,Instrumentos resguardados por el Museo del OAC: \ Divisor pupilar de Platzeck,ASOC - Astronomía y So...,Aceptado,31 March 2024
871,Instrumentos resguardados por el Museo del OAC: \ Espectrógrafo Estelar Gaviola,ASOC - Astronomía y So...,Aceptado,26 may 2024
872,Looking for molecular gas associated with the pulsar wind nebula 3C 58,MI - Medio Interestelar,Aceptado,26 June 2024
873,The Fe {sc i} lines and the chromospheric activity,AE - Astrofísica Estelar,Aceptado,26 may 2024
874,Charles D. Perrine y el ?gran debate? de la astronomía a comienzos del siglo XX,ASOC - Astronomía y So...,Aceptado,22 March 2024
875,How spectral fittings of stellar clusters are affected \ by the wavelength range used,AE - Astrofísica Estelar,Aceptado,05 jun 2024
876,Stellar Activity or a Planet? Revisiting dubious planetary signals in M-dwarf systems,SSE - Sistema Solar y ...,Aceptado,19 mar 2024
877,Imágenes en vidrio: restauración y recuperación de fotografías astronómicas solares del Observatorio de San Miguel,ASOC - Astronomía y So...,Aceptado,17 June 2024
878,Estudio espectrofotométrico de cuatro cúmulos abiertos \de características poco conocidas,SE - Sistemas Estelares,Aceptado,13 may 2024
879,Una aproximación a la cinemática de los cúmulos abiertos de la Vía Láctea,SE - Sistemas Estelares,Aceptado,28 may 2024
880,Modelado de discos de estrellas Be: efecto de truncamiento del disco en la serie de Brackett,AE - Astrofísica Estelar,Aceptado,05 mar 2024
881,Neutrino production in the cores of active galaxies,OCPAE - Objetos Compac...,Aceptado,20 may 2024
882,Chemical properties of galaxy baryons as a function of \ halo mass in a $Lambda$CDM cosmology,AEC - Astronomía Extra...,Aceptado,30 may 2024
883,La corriente estelar de Sagitario inmersa en un halo de materia oscura fermiónica,AEC - Astronomía Extra...,Aceptado,05 abr 2024
884,A Python package to find a magnetic cloud frame of reference to heliospheric observers using the Minimum Variance approach,SH - Sol y Heliosfera,Aceptado,27 may 2024
885,Neural calibration of imaging Stokes polarimeters,ICSA - Instrumentación...,Aceptado,21 jun 2024
886,Estudio preliminar de ciclos de actividad en estrellas del tipo solar,AE - Astrofísica Estelar,Aceptado,17 may 2024
887,A case study of oversight and neglect in the handling of massive data,SE - Sistemas Estelares,Aceptado,07 may 2024
888,Understanding the chemistry of the young stellar object G29.862$-$0.0044,MI - Medio Interestelar,Aceptado,02 jun 2024
889,Science with the Multipurpose Interferometer Array [MIA],ICSA - Instrumentación...,Aceptado,22 abr 2024
890,Impacto de la participación Argentina en el Observatorio Gemini,ICSA - Instrumentación...,Aceptado,29 jul 2024
891,Core dynamo simulations of A-type stars,AE - Astrofísica Estelar,Aceptado,29 mar 2024
892,Formation of supermassive black holes in galaxies through collisions in Nuclear Star Clusters,AEC - Astronomía Extra...,Aceptado,23 abr 2024
893,Dynamos in partially convective M dwarfs,AE - Astrofísica Estelar,Aceptado,19 mar 2024
894,The multipurpose interferometric array [MIA] and the development of its technological demonstrator,ICSA - Instrumentación...,Aceptado,07 jun 2024
895,Model-based identification of solar coronal mass ejections using deep neural networks,SH - Sol y Heliosfera,Aceptado,08 may 2024
896,Study of the substructure of two high-mass molecular clumps,MI - Medio Interestelar,Aceptado,17 July 2024
897,On the flavor composition of neutrinos from choked jets of gamma-ray bursts,OCPAE - Objetos Compac...,Aceptado,19 abr 2024
898,Soluciones hidrodinámicas para vientos impulsados por radiación en regiones de transición,AE - Astrofísica Estelar,Aceptado,17 abr 2024
